Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
"Quality Inspector, Southeast Asia",Franke Asia Sourcing Limited,Hồ Chí Minh,Ho Chi Minh,Nhân viên,600 - 950 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/quality-inspector-southeast-asia--1964562-jv
Phiên Dịch Viên Cho Bộ Phận Kỹ Thuật (Hàn - Trung/ Hàn - Nhật),Công Ty TNHH Cresyn Hà Nội - Nhà Máy Bắc Ninh,Bắc Ninh,"Cụm công nghiệp đa nghề Đông Thọ, Xã Đông Thọ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",Nhân viên,Từ 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/phien-dich-vien-cho-bo-phan-ky-thuat-han-trung-han-nhat-1964693-jv
Kỹ Sư Chất Lượng (Mức Lương: 15 - 16 Triệu),"Rapid Aid Viet Nam Co., Ltd.",Hải Phòng,"Thôn Câu Hạ A, xã An Quang, thành phố Hải Phòng",Nhân viên,15.000.000 - 16.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ky-su-chat-luong-muc-luong-15-16-trieu-1964564-jv
销售业务员 (Sales Specialist),CÔNG TY TNHH HORA TECH VIỆT NAM,Hồ Chí Minh,"Tầng 12 (1206), CitiLight Tower, Số 45 Võ Thị Sáu, Phường Tân Định, TP HCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/-sales-specialist-1964729-jv
Key Account Manager (Sport & Lifestyle),"Emers Vietnam Co., Ltd",Hồ Chí Minh,"Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/key-account-manager-sport-lifestyle--1964580-jv
Giám Sát Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd",Bình Thuận,"Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/giam-sat-bao-tri--1964656-jv
Phó Giám Đốc Chi Nhánh Kiêm Trưởng Phòng SME [Đà Nẵng],ABBANK - Ngân Hàng TMCP An Bình,Đà Nẵng,"Đà Nẵng, Việt Nam",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/pho-giam-djoc-chi-nhanh-kiem-truong-phong-sme-dja-nang-1964349-jv
Nữ Chuyên Viên Kinh Doanh ($700 - $1000),Công Ty TNHH Tư Vấn Quản Lý Và Phát Triển Doanh Nghiệp Á Châu - AHEAD,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Toà 15T2 18 Tam Trinh, quận Hai bà Trưng, Hà Nội; 8/29 Hoàng Hoa Thám, P.7, Q. Bình Thạnh, TP Hồ Chí Minh; 498 Bùi Trang Chước, phường Hoà Xuân, quận Cẩm Lệ, TP Đà Nẵng",Mới Tốt Nghiệp,700 - 1.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nu-chuyen-vien-kinh-doanh-700-1000-1964648-jv
Process Engineer/ Kỹ Sư Công Đoạn / Kỹ Sư Công Đoạn SMT,Seoul Semiconductor Vina,"Hà Nam, Hưng Yên, Hà Nội","Ngõ 134, Khu Công nghiệp Đồng Văn, Duy Tiên, Hà Nam, Việt Nam; Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/process-engineer-ky-su-cong-doan-ky-su-cong-doan-smt--1948396-jv
Kiến Trúc Sư (Thiết Kế Revit),Công Ty TNHH Tư Vấn Dự Án SEAS,Hồ Chí Minh,"4/7 đường 41, phường An Khánh, Tp. Thủ Đức, Tp. HCM (Quận 2 cũ)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/kien-truc-su-thiet-ke-revit-1964398-jv
